world,stage,avg_time,avg_num_actions,avg_reward,avg_score,avg_x_pos,avg_flag_count
4,1,386.6,274.0,368.2,0.0,439.2,0.0
4,2,391.6,173.8,350.2,140.0,416.4,0.0
4,3,293.0,147.2,342.0,0.0,407.0,0.0
4,4,380.4,402.0,855.4,0.0,727.4,0.0
