learning_rate,n_steps,highest_reward,avg_reward,highest_score,avg_score,total_flags
1e-4,1m,2753.0,2321.0,1000,520.0,0
1e-4,4m,2253.0,1840.3,100,5.0,0
1e-4,8m,2736.0,2095.65,1100,335.0,0
1e-4,12m,2711.0,2023.3,1300,675.0,0
1e-4,16m,3052.0,1908.1,600,320.0,0

